Instrument,HoldRollCycle,RollOffsetDays,CarryOffset,PricedRollCycle,ExpiryOffset
30YRCONF,FGHJKMNQUVXZ,-5,1,FGHJKMNQUVXZ,11
30YRJUMBO,FGHJKMNQUVXZ,-5,1,FGHJKMNQUVXZ,9
AAPL_yfinance,H,-999,0,H,0
ABBV_yfinance,H,-999,0,H,0
ABNB_yfinance,H,-999,0,H,0
ABT_yfinance,H,-999,0,H,0
ACGL_yfinance,H,-999,0,H,0
ACN_yfinance,H,-999,0,H,0
ADBE_yfinance,H,-999,0,H,0
ADI_yfinance,H,-999,0,H,0
ADM_yfinance,H,-999,0,H,0
ADP_yfinance,H,-999,0,H,0
ADSK_yfinance,H,-999,0,H,0
AEE_yfinance,H,-999,0,H,0
AEP_yfinance,H,-999,0,H,0
AES_yfinance,H,-999,0,H,0
AEX,FGHJKMNQUVXZ,-5,1,FGHJKMNQUVXZ,19
AEX_mini,FGHJKMNQUVXZ,-5,1,FGHJKMNQUVXZ,19
AFL_yfinance,H,-999,0,H,0
AIG_yfinance,H,-999,0,H,0
AIZ_yfinance,H,-999,0,H,0
AJG_yfinance,H,-999,0,H,0
AKAM_yfinance,H,-999,0,H,0
ALB_yfinance,H,-999,0,H,0
ALGN_yfinance,H,-999,0,H,0
ALLE_yfinance,H,-999,0,H,0
ALL_yfinance,H,-999,0,H,0
ALUMINIUM,FGHJKMNQUVXZ,-45,1,FGHJKMNQUVXZ,14
ALUMINIUM_LME,FGHJKMNQUVXZ,-45,1,FGHJKMNQUVXZ,14
AMAT_yfinance,H,-999,0,H,0
AMCR_yfinance,H,-999,0,H,0
AMD_yfinance,H,-999,0,H,0
AMERIBOR-1M,FGHJKMNQUVXZ,-5,1,FGHJKMNQUVXZ,26
AMERIBOR-3M,FGHJKMNQUVXZ,-5,1,FGHJKMNQUVXZ,26
AMERIBOR-T30,FGHJKMNQUVXZ,-5,1,FGHJKMNQUVXZ,26
AME_yfinance,H,-999,0,H,0
AMGN_yfinance,H,-999,0,H,0
AMP_yfinance,H,-999,0,H,0
AMT_yfinance,H,-999,0,H,0
AMX,FGHJKMNQUVXZ,-5,1,FGHJKMNQUVXZ,14
AMZN_yfinance,H,-999,0,H,0
ANET_yfinance,H,-999,0,H,0
AON_yfinance,H,-999,0,H,0
AOS_yfinance,H,-999,0,H,0
APA_yfinance,H,-999,0,H,0
APD_yfinance,H,-999,0,H,0
APH_yfinance,H,-999,0,H,0
APO_yfinance,H,-999,0,H,0
APP_yfinance,H,-999,0,H,0
APTV_yfinance,H,-999,0,H,0
ARES_yfinance,H,-999,0,H,0
ARE_yfinance,H,-999,0,H,0
ASX,FGHJKMNQUVXZ,-5,1,FGHJKMNQUVXZ,18
ATO_yfinance,H,-999,0,H,0
ATX,HMUZ,-5,1,HMUZ,16
AUD,HMUZ,-5,1,HMUZ,17
AUD-ICE,HMUZ,-5,1,HMUZ,16
AUD-SGX,FGHJKMNQUVXZ,-5,1,FGHJKMNQUVXZ,12
AUDCAD,HMUZ,-5,1,HMUZ,16
AUDJPY,HMUZ,-5,1,HMUZ,17
AUDJPY-SGX,FGHJKMNQUVXZ,-5,1,FGHJKMNQUVXZ,13
AUD_micro,HMUZ,-5,1,HMUZ,17
AUSCASH,FGHJKMNQUVXZ,-20,1,FGHJKMNQUVXZ,30
AVB_yfinance,H,-999,0,H,0
AVGO_yfinance,H,-999,0,H,0
AVY_yfinance,H,-999,0,H,0
AWK_yfinance,H,-999,0,H,0
AXON_yfinance,H,-999,0,H,0
AXP_yfinance,H,-999,0,H,0
AZO_yfinance,H,-999,0,H,0
A_yfinance,H,-999,0,H,0
BAC_yfinance,H,-999,0,H,0
BALL_yfinance,H,-999,0,H,0
BARLEY,FHKNUX,-5,1,FHKNUX,14
BAX_yfinance,H,-999,0,H,0
BA_yfinance,H,-999,0,H,0
BB3M,HMUZ,-90,-1,HMUZ,15
BBCOMM,HMUZ,-5,1,HMUZ,15
BBY_yfinance,H,-999,0,H,0
BDX_yfinance,H,-999,0,H,0
BEL20,FGHJKMNQUVXZ,-5,1,FGHJKMNQUVXZ,15
BEN_yfinance,H,-999,0,H,0
BF-B_yfinance,H,-999,0,H,0
BG_yfinance,H,-999,0,H,0
BIIB_yfinance,H,-999,0,H,0
BITCOIN,FGHJKMNQUVXZ,-4,1,FGHJKMNQUVXZ,26
BITCOIN-BAKKT,FGHJKMNQUVXZ,-5,1,FGHJKMNQUVXZ,28
BKNG_yfinance,H,-999,0,H,0
BKR_yfinance,H,-999,0,H,0
BK_yfinance,H,-999,0,H,0
BLDR_yfinance,H,-999,0,H,0
BLK_yfinance,H,-999,0,H,0
BMY_yfinance,H,-999,0,H,0
BOBL,HMUZ,-5,1,HMUZ,6
BONO,HMUZ,-5,1,HMUZ,6
BONO-MEFF,HMUZ,-5,1,HMUZ,13
BONO10,HMUZ,-5,1,HMUZ,28
BONO3,HMUZ,-5,1,HMUZ,25
BOVESPA,GJMQVZ,-5,1,GJMQVZ,15
BRE,FGHJKMNQUVXZ,-5,1,FGHJKMNQUVXZ,17
BRENT,FGHJKMNQUVXZ,-5,1,FGHJKMNQUVXZ,19
BRENT-LAST,FGHJKMNQUVXZ,-40,-1,FGHJKMNQUVXZ,-32
BRENT_W,FGHJKMNQUVXZ,-40,-1,FGHJKMNQUVXZ,14
BRK-B_yfinance,H,-999,0,H,0
BRO_yfinance,H,-999,0,H,0
BRR,FGHJKMNQUVXZ,-5,1,FGHJKMNQUVXZ,26
BRREUR,FGHJKMNQUVXZ,-5,1,FGHJKMNQUVXZ,21
BR_yfinance,H,-999,0,H,0
BSX_yfinance,H,-999,0,H,0
BTP,HMUZ,-5,1,HMUZ,6
BTP3,HMUZ,-5,1,HMUZ,10
BTP5,HMUZ,-5,1,HMUZ,10
BUND,HMUZ,-5,1,HMUZ,6
BUTTER,FGHJKMNQUVXZ,-40,-1,FGHJKMNQUVXZ,15
BUXL,HMUZ,-5,1,HMUZ,6
BXP_yfinance,H,-999,0,H,0
BX_yfinance,H,-999,0,H,0
CAC,FGHJKMNQUVXZ,-5,1,FGHJKMNQUVXZ,20
CAD,HMUZ,-5,1,HMUZ,17
CAD10,HMUZ,-20,1,HMUZ,20
CAD2,HMUZ,-20,1,HMUZ,20
CAD5,HMUZ,-20,1,HMUZ,20
CADJPY,HMUZ,-5,1,HMUZ,17
CADJPY2,HMUZ,-5,1,HMUZ,16
CADSTIR,HMUZ,-200,-1,FGHJKMNQUVXZ,15
CAD_micro,HMUZ,-5,1,HMUZ,17
CAG_yfinance,H,-999,0,H,0
CAH_yfinance,H,-999,0,H,0
CAN-ENERGY,HMUZ,-5,1,HMUZ,16
CAN-FINANCE,HMUZ,-5,1,HMUZ,15
CAN-GOLD,HMUZ,-5,1,HMUZ,16
CAN-TECH,HMUZ,-5,1,HMUZ,16
CANOLA,FHKNX,-60,-1,FHKNX,13
CARR_yfinance,H,-999,0,H,0
CAT_yfinance,H,-999,0,H,0
CBOE_yfinance,H,-999,0,H,0
CBRE_yfinance,H,-999,0,H,0
CB_yfinance,H,-999,0,H,0
CCI_yfinance,H,-999,0,H,0
CCL_yfinance,H,-999,0,H,0
CDNS_yfinance,H,-999,0,H,0
CDW_yfinance,H,-999,0,H,0
CEG_yfinance,H,-999,0,H,0
CETES,FGHJKMNQUVXZ,-5,1,FGHJKMNQUVXZ,13
CFG_yfinance,H,-999,0,H,0
CF_yfinance,H,-999,0,H,0
CH10,HMUZ,-5,1,HMUZ,6
CHD_yfinance,H,-999,0,H,0
CHEESE,FGHJKMNQUVXZ,-40,-1,FGHJKMNQUVXZ,15
CHF,HMUZ,-5,1,HMUZ,17
CHFJPY,HMUZ,-5,1,HMUZ,17
CHFJPY-ICE,HMUZ,-5,1,HMUZ,16
CHF_micro,HMUZ,-5,1,HMUZ,17
CHINA120,FGHJKMNQUVXZ,-5,1,FGHJKMNQUVXZ,28
CHINAA-CON,FGHJKMNQUVXZ,-5,1,FGHJKMNQUVXZ,18
CHRW_yfinance,H,-999,0,H,0
CHTR_yfinance,H,-999,0,H,0
CIEN_yfinance,H,-999,0,H,0
CINF_yfinance,H,-999,0,H,0
CI_yfinance,H,-999,0,H,0
CLP,FGHJKMNQUVXZ,-5,1,FGHJKMNQUVXZ,1
CLX_yfinance,H,-999,0,H,0
CL_yfinance,H,-999,0,H,0
CMCSA_yfinance,H,-999,0,H,0
CME_yfinance,H,-999,0,H,0
CMG_yfinance,H,-999,0,H,0
CMI_yfinance,H,-999,0,H,0
CMS_yfinance,H,-999,0,H,0
CNC_yfinance,H,-999,0,H,0
CNH,FGHJKMNQUVXZ,-10,1,FGHJKMNQUVXZ,15
CNH-CME,FGHJKMNQUVXZ,-5,1,FGHJKMNQUVXZ,19
CNH-CME_micro,FGHJKMNQUVXZ,-5,1,FGHJKMNQUVXZ,19
CNH-HK,FGHJKMNQUVXZ,-5,1,FGHJKMNQUVXZ,17
CNH-onshore,FGHJKMNQUVXZ,-5,1,FGHJKMNQUVXZ,15
CNHEUR,FGHJKMNQUVXZ,-5,1,FGHJKMNQUVXZ,19
CNP_yfinance,H,-999,0,H,0
COAL,FGHJKMNQUVXZ,-45,-1,FGHJKMNQUVXZ,24
COAL-GEORDIE,FGHJKMNQUVXZ,-45,-1,FGHJKMNQUVXZ,27
COAL-RICH-BAY,FGHJKMNQUVXZ,-90,-1,FGHJKMNQUVXZ,27
COCOA,HKNUZ,-50,-1,HKNUZ,13
COCOA_LDN,HKNUZ,-50,-1,HKNUZ,13
COFFEE,HKNUZ,-50,-1,HKNUZ,19
COF_yfinance,H,-999,0,H,0
COIN_yfinance,H,-999,0,H,0
COO_yfinance,H,-999,0,H,0
COPPER,HNUZ,-30,1,FHJMNUVZ,27
COPPER-micro,HKNUZ,-30,1,FGHJKMNQUVXZ,15
COPPER-mini,HKNUZ,-30,1,HKNUZ,27
COPPER_LME,FGHJKMNQUVXZ,-45,1,FGHJKMNQUVXZ,14
COP_yfinance,H,-999,0,H,0
CORN,Z,-60,-1,HKNUZ,14
CORN-EURO,HMQX,-35,-1,HMQX,6
CORN-JPN,FHKNUX,-5,1,FHKNUX,21
CORN_BBG,Z,-60,-1,HKNUZ,14
CORN_mini,HKNUZ,-30,1,HKNUZ,14
CORRA,HMUZ,-180,-1,HMUZ,19
COR_yfinance,H,-999,0,H,0
COST_yfinance,H,-999,0,H,0
COTTON,HKNVZ,-5,1,HKNVZ,15
COTTON2,HKNZ,-60,-1,HKNVZ,6
CPAY_yfinance,H,-999,0,H,0
CPB_yfinance,H,-999,0,H,0
CPRT_yfinance,H,-999,0,H,0
CPT_yfinance,H,-999,0,H,0
CRH_yfinance,H,-999,0,H,0
CRL_yfinance,H,-999,0,H,0
CRM_yfinance,H,-999,0,H,0
CRUDE_ICE,FGHJKMNQUVXZ,-5,1,FGHJKMNQUVXZ,16
CRUDE_W,Z,-40,-1,FGHJKMNQUVXZ,-11
CRUDE_W_micro,FGHJKMNQUVXZ,-40,-1,FGHJKMNQUVXZ,-11
CRUDE_W_mini,FGHJKMNQUVXZ,-40,-1,FGHJKMNQUVXZ,-11
CRWD_yfinance,H,-999,0,H,0
CSCO_yfinance,H,-999,0,H,0
CSGP_yfinance,H,-999,0,H,0
CSX_yfinance,H,-999,0,H,0
CTAS_yfinance,H,-999,0,H,0
CTRA_yfinance,H,-999,0,H,0
CTSH_yfinance,H,-999,0,H,0
CTVA_yfinance,H,-999,0,H,0
CVNA_yfinance,H,-999,0,H,0
CVS_yfinance,H,-999,0,H,0
CVX_yfinance,H,-999,0,H,0
CZK,HMUZ,-5,1,HMUZ,15
C_yfinance,H,-999,0,H,0
DAL_yfinance,H,-999,0,H,0
DASH_yfinance,H,-999,0,H,0
DAX,HMUZ,-5,1,HMUZ,15
DDOG_yfinance,H,-999,0,H,0
DD_yfinance,H,-999,0,H,0
DECK_yfinance,H,-999,0,H,0
DELL_yfinance,H,-999,0,H,0
DE_yfinance,H,-999,0,H,0
DGX_yfinance,H,-999,0,H,0
DG_yfinance,H,-999,0,H,0
DHI_yfinance,H,-999,0,H,0
DHR_yfinance,H,-999,0,H,0
DIS_yfinance,H,-999,0,H,0
DIVDAX,HMUZ,-5,1,HMUZ,19
DIVDAX-DIVI,HMUZ,-5,1,HMUZ,15
DIVDAX-DIVI2,Z,-5,1,Z,20
DJSTX-SMALL,HMUZ,-10,1,HMUZ,18
DJUBS,FGHJMNQUVXZ,-5,1,FGHJMNQUVXZ,18
DLR_yfinance,H,-999,0,H,0
DLTR_yfinance,H,-999,0,H,0
DOC_yfinance,H,-999,0,H,0
DOV_yfinance,H,-999,0,H,0
DOW,HMUZ,-5,1,HMUZ,15
DOW_YEN,HMUZ,-5,1,HMUZ,17
DOW_mini,HMUZ,-5,1,HMUZ,15
DOW_yfinance,H,-999,0,H,0
DPZ_yfinance,H,-999,0,H,0
DRI_yfinance,H,-999,0,H,0
DTE_yfinance,H,-999,0,H,0
DUK_yfinance,H,-999,0,H,0
DVA_yfinance,H,-999,0,H,0
DVN_yfinance,H,-999,0,H,0
DX,HMUZ,-30,1,HMUZ,13
DXCM_yfinance,H,-999,0,H,0
D_yfinance,H,-999,0,H,0
EA_yfinance,H,-999,0,H,0
EBAY_yfinance,H,-999,0,H,0
ECL_yfinance,H,-999,0,H,0
EDOLLAR,HMUZ,-1100,-1,HMUZ,18
ED_yfinance,H,-999,0,H,0
EFX_yfinance,H,-999,0,H,0
EG_yfinance,H,-999,0,H,0
EIX_yfinance,H,-999,0,H,0
ELV_yfinance,H,-999,0,H,0
EL_yfinance,H,-999,0,H,0
EME_yfinance,H,-999,0,H,0
EMR_yfinance,H,-999,0,H,0
EOG_yfinance,H,-999,0,H,0
EPAM_yfinance,H,-999,0,H,0
EPRA-EURO,HMU,-5,1,HMU,19
EPRA-EUROPE,HMUZ,-5,1,HMUZ,13
EQIX_yfinance,H,-999,0,H,0
EQR_yfinance,H,-999,0,H,0
EQT_yfinance,H,-999,0,H,0
ERIE_yfinance,H,-999,0,H,0
ESS_yfinance,H,-999,0,H,0
ES_yfinance,H,-999,0,H,0
ETHANOL,FGHJKMNQUVXZ,-5,1,FGHJKMNQUVXZ,-11
ETHER-micro,FGHJKMNQUVXZ,-5,1,FGHJKMNQUVXZ,15
ETHEREUM,FGHJKMNQUVXZ,-5,1,FGHJKMNQUVXZ,15
ETHRR,FGHJKMNQUVXZ,-5,1,FGHJKMNQUVXZ,20
ETHRREUR,FGHJKMNUXZ,-5,1,FGHJKMNUXZ,20
ETN_yfinance,H,-999,0,H,0
ETR_yfinance,H,-999,0,H,0
EU-AUTO,HMUZ,-5,1,HMUZ,15
EU-BANKS,HMUZ,-10,1,HMUZ,18
EU-BANKS-DIVI,MZ,-5,1,MZ,19
EU-BANKS2,HMUZ,-5,1,HMUZ,20
EU-BASIC,HMUZ,-5,1,HMUZ,15
EU-CHEM,HMUZ,-10,1,HMUZ,18
EU-CONSTRUCTION,HMUZ,-10,1,HMUZ,18
EU-DIV30,HMUZ,-5,1,HMUZ,15
EU-DIV30-DVP,Z,-5,1,Z,19
EU-DIV50,MZ,-60,1,MZ,15
EU-DJ-AUTO,HMUZ,-5,1,HMUZ,14
EU-DJ-BASIC,HMUZ,-5,1,HMUZ,16
EU-DJ-CHEM,HMUZ,-5,1,HMUZ,17
EU-DJ-CONSTRUCTION,HMUZ,-5,1,HMUZ,18
EU-DJ-FINANCE,HMUZ,-5,1,HMUZ,19
EU-DJ-FOOD,HMUZ,-5,1,HMUZ,15
EU-DJ-HEALTH,HMUZ,-5,1,HMUZ,14
EU-DJ-HOUSE,HMUZ,-5,1,HMUZ,18
EU-DJ-INDUSTRY,HMUZ,-5,1,HMUZ,20
EU-DJ-INDUSTRY2,HMUZ,-5,1,HMUZ,14
EU-DJ-INSURE,HMUZ,-5,1,HMUZ,17
EU-DJ-MEDIA,HMUZ,-5,1,HMUZ,17
EU-DJ-OIL,HMUZ,-5,1,HMUZ,15
EU-DJ-RETAIL,HMUZ,-5,1,HMUZ,19
EU-DJ-TECH,HMUZ,-5,1,HMUZ,15
EU-DJ-TELECOM,HMUZ,-5,1,HMUZ,15
EU-DJ-TRAVEL,HMUZ,-5,1,HMUZ,16
EU-DJ-UTIL,HMUZ,-5,1,HMUZ,15
EU-ESG,HMUZ,-5,1,HMUZ,18
EU-FINANCE,HMUZ,-5,1,HMUZ,17
EU-FOOD,HMUZ,-5,1,HMUZ,15
EU-HEALTH,HMUZ,-5,1,HMUZ,15
EU-HOUSE,HMUZ,-5,1,HMUZ,15
EU-INSURE,HMUZ,-10,1,HMUZ,18
EU-MEDIA,HMUZ,-5,1,HMUZ,15
EU-MID,HMUZ,-5,1,HMUZ,15
EU-OIL,HMUZ,-5,1,HMUZ,15
EU-REALESTATE,HMUZ,-5,1,HMUZ,15
EU-RETAIL,HMUZ,-5,1,HMUZ,15
EU-TECH,HMUZ,-5,1,HMUZ,15
EU-TELECOM,HMUZ,-5,1,HMUZ,19
EU-TRAVEL,HMUZ,-5,1,HMUZ,15
EU-UTILS,HMUZ,-5,1,HMUZ,15
EUA,Z,-270,-1,HMUZ,14
EUIRS10,HMUZ,-5,1,HMUZ,16
EUIRS2,HMUZ,-5,1,HMUZ,15
EUIRS5,HMUZ,-5,1,HMUZ,15
EUR,HMUZ,-5,1,HMUZ,17
EUR-ICE,HMUZ,-5,1,HMUZ,17
EURAUD,HMUZ,-5,1,HMUZ,17
EURAUD-ICE,HMUZ,-5,1,HMUZ,17
EURCAD,HMUZ,-5,1,HMUZ,15
EURCAD-ICE,HMUZ,-5,1,HMUZ,17
EURCHF,HMUZ,-5,1,HMUZ,17
EURCHF-ICE,HMUZ,-5,1,HMUZ,20
EURCZK,HMUZ,-5,1,HMUZ,20
EURHUF,HMUZ,-5,1,HMUZ,17
EURIBOR,HMUZ,-700,-1,HMUZ,15
