Instrument,HoldRollCycle,RollOffsetDays,CarryOffset,PricedRollCycle,ExpiryOffset
NEE_yfinance,H,-999,0,H,0
NEM_yfinance,H,-999,0,H,0
NFLX_yfinance,H,-999,0,H,0
NICKEL_LME,FGHJKMNQUVXZ,-45,1,FGHJKMNQUVXZ,14
NIFTY,FGHJKMNQUVXZ,-10,1,FGHJKMNQUVXZ,15
NIFTY-IN,FGHJKMNQUVXZ,-10,1,FGHJKMNQUVXZ,20
NIKKEI,HMUZ,-5,1,FGHJKMNQUVXZ,14
NIKKEI-CME,HMUZ,-5,1,HMUZ,19
NIKKEI-JPY,FGHJKMNUVXZ,-10,1,FGHJKMNUVXZ,19
NIKKEI-JPY_mini,HMUZ,-10,1,HMUZ,15
NIKKEI-SGX,FGHJKMNQUVXZ,-10,1,FGHJKMNQUVXZ,21
NIKKEI-SGX-DIV,Z,-10,1,Z,20
NIKKEI-SGX-USD,HMUZ,-10,1,HMUZ,14
NIKKEI-SGX_mini,FGHJKMNQUVXZ,-10,1,FGHJKMNQUVXZ,18
NIKKEI400,HMUZ,-5,1,HMUZ,14
NIKKEI_large,HMUZ,-5,1,HMUZ,19
NI_yfinance,H,-999,0,H,0
NKE_yfinance,H,-999,0,H,0
NOC_yfinance,H,-999,0,H,0
NOK,HMUZ,-5,1,HMUZ,17
NOW_yfinance,H,-999,0,H,0
NRG_yfinance,H,-999,0,H,0
NSC_yfinance,H,-999,0,H,0
NTAP_yfinance,H,-999,0,H,0
NTRS_yfinance,H,-999,0,H,0
NUE_yfinance,H,-999,0,H,0
NVDA_yfinance,H,-999,0,H,0
NVR_yfinance,H,-999,0,H,0
NWSA_yfinance,H,-999,0,H,0
NWS_yfinance,H,-999,0,H,0
NXPI_yfinance,H,-999,0,H,0
NZD,HMUZ,-10,1,HMUZ,17
OAT,HMUZ,-5,1,HMUZ,6
OAT5,HMUZ,-5,1,HMUZ,20
OATIES,HKNUZ,-90,-1,HKNUZ,14
ODFL_yfinance,H,-999,0,H,0
OJ,FHKNUX,-40,1,FHKNUX,9
OKE_yfinance,H,-999,0,H,0
OMC_yfinance,H,-999,0,H,0
OMX,HMUZ,-10,1,HMUZ,15
OMX-SWE,FGHJKMNQUVXZ,-5,1,FGHJKMNQUVXZ,19
OMXESG,FGHJKMNQUVXZ,-5,1,FGHJKMNQUVXZ,13
OMXSB,HMUZ,-5,1,HMUZ,-14
ON_yfinance,H,-999,0,H,0
ORCL_yfinance,H,-999,0,H,0
ORLY_yfinance,H,-999,0,H,0
OTIS_yfinance,H,-999,0,H,0
OXY_yfinance,H,-999,0,H,0
O_yfinance,H,-999,0,H,0
PALLAD,HMUZ,-30,1,HMUZ,26
PANW_yfinance,H,-999,0,H,0
PAYC_yfinance,H,-999,0,H,0
PAYX_yfinance,H,-999,0,H,0
PCAR_yfinance,H,-999,0,H,0
PCG_yfinance,H,-999,0,H,0
PEG_yfinance,H,-999,0,H,0
PEP_yfinance,H,-999,0,H,0
PFE_yfinance,H,-999,0,H,0
PFG_yfinance,H,-999,0,H,0
PGR_yfinance,H,-999,0,H,0
PG_yfinance,H,-999,0,H,0
PHM_yfinance,H,-999,0,H,0
PH_yfinance,H,-999,0,H,0
PIPELINE,FGHJKMNQUVXZ,-5,1,FGHJKMNQUVXZ,27
PKG_yfinance,H,-999,0,H,0
PLAT,FJNV,-30,1,FJNV,26
PLAT-JPN,GJMQVZ,-5,1,GJMQVZ,24
PLAT-JPN_mini,GJMQVZ,-5,1,GJMQVZ,23
PLD_yfinance,H,-999,0,H,0
PLN,HMUZ,-10,1,HMUZ,15
PLTR_yfinance,H,-999,0,H,0
PLZEUR,HMUZ,-5,1,HMUZ,12
PM_yfinance,H,-999,0,H,0
PNC_yfinance,H,-999,0,H,0
PNR_yfinance,H,-999,0,H,0
PNW_yfinance,H,-999,0,H,0
PODD_yfinance,H,-999,0,H,0
POOL_yfinance,H,-999,0,H,0
PPG_yfinance,H,-999,0,H,0
PPL_yfinance,H,-999,0,H,0
PRU_yfinance,H,-999,0,H,0
PSA_yfinance,H,-999,0,H,0
PSKY_yfinance,H,-999,0,H,0
PSX_yfinance,H,-999,0,H,0
PTC_yfinance,H,-999,0,H,0
PWR_yfinance,H,-999,0,H,0
PYPL_yfinance,H,-999,0,H,0
QCOM_yfinance,H,-999,0,H,0
Q_yfinance,H,-999,0,H,0
R1000,HMUZ,-10,1,HMUZ,18
R1000GROWTH-mini,HMUZ,-10,1,HMUZ,18
R1000_mini,HMUZ,-10,1,HMUZ,18
RAPESEED,GKQX,-60,-1,GKQX,27
RCL_yfinance,H,-999,0,H,0
REDWHEAT,HKNUZ,-90,-1,HKNUZ,14
REGN_yfinance,H,-999,0,H,0
REG_yfinance,H,-999,0,H,0
RF_yfinance,H,-999,0,H,0
RICE,FHKNUX,-90,-1,FHKNUX,14
RJF_yfinance,H,-999,0,H,0
RL_yfinance,H,-999,0,H,0
RMD_yfinance,H,-999,0,H,0
ROBUSTA,FHKNUX,-50,-1,FHKNUX,24
ROK_yfinance,H,-999,0,H,0
ROL_yfinance,H,-999,0,H,0
ROP_yfinance,H,-999,0,H,0
ROST_yfinance,H,-999,0,H,0
RSG_yfinance,H,-999,0,H,0
RTX_yfinance,H,-999,0,H,0
RUBBER,FGHJKMNQUVXZ,-30,1,FGHJKMNQUVXZ,-1
RUBBER-RSS,FGHJKMNQUVXZ,-87,1,FGHJKMNQUVXZ,24
RUR,HMUZ,-5,1,HMUZ,17
RUSSELL,HMUZ,-5,1,HMUZ,15
RUSSELL-GROWTH,HMUZ,-5,1,HMUZ,17
RUSSELL-VALUE,HMUZ,-5,1,HMUZ,17
RUSSELL_mini,HMUZ,-5,1,HMUZ,15
RVTY_yfinance,H,-999,0,H,0
SARONA,HMUZ,-200,-1,HMUZ,19
SBAC_yfinance,H,-999,0,H,0
SBUX_yfinance,H,-999,0,H,0
SCHW_yfinance,H,-999,0,H,0
SEK,HMUZ,-5,1,HMUZ,17
SGD,FGHJKMNQUVXZ,-10,1,FGHJKMNQUVXZ,15
SGD_mini,FGHJKMNQUVXZ,-10,1,FGHJKMNQUVXZ,15
SGX,FGHJKMNQUVXZ,-10,1,FGHJKMNQUVXZ,15
SHATZ,HMUZ,-5,1,HMUZ,6
SHW_yfinance,H,-999,0,H,0
SILVER,HKNUZ,-45,-1,FGHJKMNQUVXZ,26
SILVER-mini,FHKNUZ,-45,-1,FHKNUZ,-5
SING-REALESTATE,FGHJKMNQUVXZ,-5,1,FGHJKMNQUVXZ,23
SJM_yfinance,H,-999,0,H,0
SLB_yfinance,H,-999,0,H,0
SMCI_yfinance,H,-999,0,H,0
SMI,HMUZ,-5,1,HMUZ,14
SMI-DIV,Z,-5,1,Z,19
SMI-MID,HMUZ,-5,1,HMUZ,14
SMIETF,HMUZ,-5,1,HMUZ,19
SNA_yfinance,H,-999,0,H,0
SNDK_yfinance,H,-999,0,H,0
SNPS_yfinance,H,-999,0,H,0
SOFR,HMUZ,-1000,-1,HMUZ,18
SOFR1,HMUZ,-200,-1,HMUZ,5
SOFR_BBG,HMUZ,-1000,-1,HMUZ,18
SOLV_yfinance,H,-999,0,H,0
SONIA,HMUZ,-5,1,HMUZ,14
SONIA1,FGHJKMNQUVXZ,-5,1,FGHJKMNQUVXZ,27
SONIA3,HMUZ,-1000,-1,HMUZ,9
SOYBEAN,X,-60,-1,FHKNQUX,13
SOYBEAN_mini,FHKNQUX,-45,1,FHKNQUX,13
SOYMEAL,FHKNQUVZ,-90,-1,FHKNQUVZ,14
SOYOIL,FHKNQUVZ,-90,-1,FHKNQUVZ,14
SO_yfinance,H,-999,0,H,0
SP400,HMUZ,-5,1,HMUZ,15
SP500,HMUZ,-5,1,HMUZ,14
SP500-GROWTH,HMZ,-5,1,HMZ,19
SP500-VALUE,HMZ,-5,1,HMZ,18
SP500_micro,HMUZ,-5,1,HMUZ,14
SP500_mini,HMUZ,-5,1,HMUZ,17
SP600-SMALL,HMUZ,-5,1,HMUZ,19
SPGI_yfinance,H,-999,0,H,0
SPG_yfinance,H,-999,0,H,0
SPI200,HMUZ,-30,1,FGHJKMNQUVXZ,14
SPY,H,-999,0,H,0
SPY_yfinance,H,-999,0,H,0
SPY_yfinance_adj,H,-999,0,H,0
SPY_yfinance_unadj,H,-999,0,H,0
SRE_yfinance,H,-999,0,H,0
STEEL,FGHJKMNQUVXZ,-90,-1,FGHJKMNQUVXZ,15
STERLING3,HMUZ,-30,1,FGHJKMNQUVXZ,15
STE_yfinance,H,-999,0,H,0
STLD_yfinance,H,-999,0,H,0
STT_yfinance,H,-999,0,H,0
STX_yfinance,H,-999,0,H,0
STZ_yfinance,H,-999,0,H,0
SUGAR11,HKNV,-60,-1,HKNV,-2
SUGAR16,FHKNUX,-60,-1,FHKNUX,7
SUGAR_WHITE,HKQVZ,-60,-1,HKQVZ,-2
SWISSLEAD,HMUZ,-5,1,HMUZ,14
SWKS_yfinance,H,-999,0,H,0
SWK_yfinance,H,-999,0,H,0
SW_yfinance,H,-999,0,H,0
SYF_yfinance,H,-999,0,H,0
SYK_yfinance,H,-999,0,H,0
SYY_yfinance,H,-999,0,H,0
TAP_yfinance,H,-999,0,H,0
TDG_yfinance,H,-999,0,H,0
TDY_yfinance,H,-999,0,H,0
TECDAX,HMUZ,-5,1,HMUZ,19
TECH_yfinance,H,-999,0,H,0
TEL_yfinance,H,-999,0,H,0
TER_yfinance,H,-999,0,H,0
TFC_yfinance,H,-999,0,H,0
TGT_yfinance,H,-999,0,H,0
THB,FGHJKMNQUVXZ,-10,1,FGHJKMNQUVXZ,29
TIN_LME,FGHJKMNQUVXZ,-45,1,FGHJKMNQUVXZ,14
TJX_yfinance,H,-999,0,H,0
TKO_yfinance,H,-999,0,H,0
TMO_yfinance,H,-999,0,H,0
TMUS_yfinance,H,-999,0,H,0
TOPIX,HMUZ,-5,1,HMUZ,14
TOPIX30,HMUZ,-5,1,HMUZ,13
TOPIX_Large,HMUZ,-5,1,HMUZ,15
TPL_yfinance,H,-999,0,H,0
TPR_yfinance,H,-999,0,H,0
TRGP_yfinance,H,-999,0,H,0
TRMB_yfinance,H,-999,0,H,0
TROW_yfinance,H,-999,0,H,0
TRV_yfinance,H,-999,0,H,0
TSCO_yfinance,H,-999,0,H,0
TSE60,HMUZ,-5,1,HMUZ,14
TSLA_yfinance,H,-999,0,H,0
TSN_yfinance,H,-999,0,H,0
TSX,HMUZ,-5,1,HMUZ,16
TTD_yfinance,H,-999,0,H,0
TTWO_yfinance,H,-999,0,H,0
TT_yfinance,H,-999,0,H,0
TWD,FGHJKMNQUVXZ,-5,1,FGHJKMNQUVXZ,15
TWD-mini,FGHJKMNQUVXZ,-5,1,FGHJKMNQUVXZ,15
TXN_yfinance,H,-999,0,H,0
TXT_yfinance,H,-999,0,H,0
TYL_yfinance,H,-999,0,H,0
T_yfinance,H,-999,0,H,0
UAL_yfinance,H,-999,0,H,0
UBER_yfinance,H,-999,0,H,0
UDR_yfinance,H,-999,0,H,0
UHS_yfinance,H,-999,0,H,0
ULTA_yfinance,H,-999,0,H,0
UMBS-20,FGHJKZ,-5,1,FGHJKZ,15
UMBS-25,FGHJKZ,-5,1,FGHJKZ,15
UMBS-30,FGHJKZ,-5,1,FGHJKZ,15
UMBS-35,FGHJKZ,-5,1,FGHJKZ,15
UMBS-40,FGHJKZ,-5,1,FGHJKZ,15
UMBS-45,FGHJKZ,-5,1,FGHJKZ,15
UMBS-50,FGHJKZ,-5,1,FGHJKZ,15
UNH_yfinance,H,-999,0,H,0
UNP_yfinance,H,-999,0,H,0
UPS_yfinance,H,-999,0,H,0
URANIUM,FGHJKMNQUVXZ,-5,1,FGHJKMNQUVXZ,17
URI_yfinance,H,-999,0,H,0
US-BIOTECH,HMUZ,-5,1,HMUZ,21
US-DISCRETE,HMUZ,-5,1,HMUZ,15
US-ENERGY,HMUZ,-5,1,HMUZ,15
US-FINANCE,HMUZ,-5,1,HMUZ,15
US-HEALTH,HMUZ,-5,1,HMUZ,15
US-INDUSTRY,HMUZ,-5,1,HMUZ,15
US-INSURE,HMUZ,-5,1,HMUZ,20
US-MATERIAL,HMUZ,-5,1,HMUZ,15
US-OILGAS,HMUZ,-5,1,HMUZ,18
US-PROPERTY,HMUZ,-5,1,HMUZ,15
US-REALESTATE,HMUZ,-2,1,HMUZ,17
US-REGBANK,HMUZ,-5,1,HMUZ,20
US-RETAIL,HMUZ,-5,1,HMUZ,21
US-SEMICONDUCTOR,HMUZ,-5,1,HMUZ,20
US-STAPLES,HMUZ,-5,1,HMUZ,15
US-TECH,HMUZ,-5,1,HMUZ,15
US-UTILS,HMUZ,-5,1,HMUZ,15
US10,HMUZ,-25,1,HMUZ,19
US10U,HMUZ,-25,1,HMUZ,19
US10Y_micro,FGHJKMNQUVXZ,-5,1,FGHJKMNQUVXZ,29
US10Y_small,FGHJKMNQUVXZ,-5,1,FGHJKMNQUVXZ,15
US10_BBG,HMUZ,-25,1,HMUZ,19
US2,HMUZ,-25,1,HMUZ,19
US20,HMUZ,-25,1,HMUZ,19
US20-new,HMUZ,-25,1,HMUZ,19
US2Y_micro,FGHJKMNQUVXZ,-5,1,FGHJKMNQUVXZ,29
US2Y_small,FGHJKMNQUVXZ,-5,1,FGHJKMNQUVXZ,15
US3,HMUZ,-25,1,HMUZ,19
US30,HMUZ,-25,1,HMUZ,19
US30Y_micro,FGHJKMNQUVXZ,-5,1,FGHJKMNQUVXZ,29
US30Y_small,FGHJKMNQUVXZ,-5,1,FGHJKMNQUVXZ,14
US5,HMUZ,-25,1,HMUZ,19
US5Y_micro,FGHJKMNQUVXZ,-5,1,FGHJKMNQUVXZ,28
USB_yfinance,H,-999,0,H,0
USDCAD_micro,HMUZ,-5,1,HMUZ,19
USDCHF_micro,FGHJKMNQUVXZ,-10,1,FGHJKMNQUVXZ,15
USDCNH-CME,FGHJKMNQUVXZ,-5,1,FGHJKMNQUVXZ,20
USDCNH-HK,FGHJKMNQUVXZ,-5,1,FGHJKMNQUVXZ,14
USDCNH-SGX_mini,FGHJKMNQUVXZ,-5,1,FGHJKMNQUVXZ,15
USDINR,FGHJKMNQUVXZ,-5,1,FGHJKMNQUVXZ,15
USDKRW,HMUZ,-10,1,HMUZ,15
USDMXP,FGHJKMNQUVXZ,-10,1,FGHJKMNQUVXZ,15
USIRS10,HMUZ,-20,1,HMUZ,15
USIRS10ERIS,HMZ,-5,1,HMZ,19
USIRS12ERIS,HMUZ,-5,1,HMUZ,-62
USIRS15ERIS,HMUZ,-5,1,HMUZ,-58
USIRS2,HMZ,-5,1,HMZ,19
USIRS20ERIS,HMUZ,-5,1,HMUZ,-18
USIRS2ERIS,HMUZ,-740,1,HMUZ,15
USIRS30,HMZ,-5,1,HMZ,19
USIRS3ERIS,HMUZ,-5,1,HMUZ,19
USIRS4ERIS,HMUZ,-5,1,HMUZ,19
USIRS5,HMUZ,-20,1,HMUZ,15
USIRS5ERIS,HMUZ,-1835,1,HMUZ,15
USIRS5ERIS_SOFR,HMUZ,-1835,1,HMUZ,15
USIRS7ERIS,HMUZ,-5,1,HMUZ,19
V2X,FGHJKMNQUVXZ,-60,-1,FGHJKMNQUVXZ,19
V2X_BBG,FGHJKMNQUVXZ,-60,-1,FGHJKMNQUVXZ,19
VHANG,FGHJKMNQUVXZ,-5,1,FGHJKMNQUVXZ,26
VICI_yfinance,H,-999,0,H,0
VIX,FGHJKMNQUVXZ,-60,-1,FGHJKMNQUVXZ,19
VIX_mini,FGHJKMNQUVXZ,-60,-1,FGHJKMNQUVXZ,19
VLO_yfinance,H,-999,0,H,0
VLTO_yfinance,H,-999,0,H,0
VMC_yfinance,H,-999,0,H,0
VNKI,FGHJKMNQUVXZ,-60,-1,FGHJKMNQUVXZ,15
VOLQ,FGHJKMNQVXZ,-5,1,FGHJKMNQVXZ,17
VRSK_yfinance,H,-999,0,H,0
VRSN_yfinance,H,-999,0,H,0
VRTX_yfinance,H,-999,0,H,0
VST_yfinance,H,-999,0,H,0
VTRS_yfinance,H,-999,0,H,0
VTR_yfinance,H,-999,0,H,0
VZ_yfinance,H,-999,0,H,0
V_yfinance,H,-999,0,H,0
WAB_yfinance,H,-999,0,H,0
WATER-CALI,FGHJKMNQUXZ,-5,1,FGHJKMNQUXZ,16
WAT_yfinance,H,-999,0,H,0
WBD_yfinance,H,-999,0,H,0
WDAY_yfinance,H,-999,0,H,0
WDC_yfinance,H,-999,0,H,0
WEC_yfinance,H,-999,0,H,0
WELL_yfinance,H,-999,0,H,0
WFC_yfinance,H,-999,0,H,0
WHEAT,Z,-60,-1,HKNUZ,13
WHEAT-ASX,FHKNU,-5,1,FHKNU,13
WHEAT_ICE,KX,-100,-1,FHKNX,6
WHEAT_mini,HKNUZ,-30,1,HKNUZ,13
WHEY,FGHJKMNQUVXZ,-40,-1,FGHJKMNQUVXZ,15
WMB_yfinance,H,-999,0,H,0
WMT_yfinance,H,-999,0,H,0
WM_yfinance,H,-999,0,H,0
WRB_yfinance,H,-999,0,H,0
WSM_yfinance,H,-999,0,H,0
WST_yfinance,H,-999,0,H,0
WTW_yfinance,H,-999,0,H,0
WYNN_yfinance,H,-999,0,H,0
WY_yfinance,H,-999,0,H,0
XEL_yfinance,H,-999,0,H,0
XOM_yfinance,H,-999,0,H,0
XYL_yfinance,H,-999,0,H,0
XYZ_yfinance,H,-999,0,H,0
YENEUR,HMUZ,-5,1,HMUZ,15
YENEUR-ICE,HMUZ,-5,1,HMUZ,14
YUM_yfinance,H,-999,0,H,0
ZAR,HMUZ,-5,1,HMUZ,12
ZBH_yfinance,H,-999,0,H,0
ZBRA_yfinance,H,-999,0,H,0
ZINC_LME,FGHJKMNQUVXZ,-45,1,FGHJKMNQUVXZ,14
ZTS_yfinance,H,-999,0,H,0
